Altitude, He, N2, O2, Ar, Total, T
0, 1.3494e+14, 2.01082e+19, 5.39442e+18, 2.40524e+17, 0.00123715, 288.524
5, 1.34865e+14, 2.00969e+19, 5.39139e+18, 2.40389e+17, 0.00123646, 288.516
10, 1.34789e+14, 2.00856e+19, 5.38836e+18, 2.40254e+17, 0.00123576, 288.507
15, 1.34713e+14, 2.00743e+19, 5.38534e+18, 2.40119e+17, 0.00123507, 288.498
20, 1.34638e+14, 2.0063e+19, 5.38231e+18, 2.39984e+17, 0.00123437, 288.489
25, 1.34562e+14, 2.00518e+19, 5.37929e+18, 2.3985e+17, 0.00123368, 288.48
30, 1.34487e+14, 2.00405e+19, 5.37628e+18, 2.39715e+17, 0.00123299, 288.471
35, 1.34411e+14, 2.00293e+19, 5.37326e+18, 2.39581e+17, 0.0012323, 288.462
40, 1.34336e+14, 2.00181e+19, 5.37025e+18, 2.39446e+17, 0.00123161, 288.453
45, 1.34261e+14, 2.00069e+19, 5.36724e+18, 2.39312e+17, 0.00123092, 288.444
50, 1.34185e+14, 1.99957e+19, 5.36424e+18, 2.39178e+17, 0.00123023, 288.434
55, 1.3411e+14, 1.99845e+19, 5.36124e+18, 2.39044e+17, 0.00122954, 288.425
60, 1.34035e+14, 1.99733e+19, 5.35823e+18, 2.38911e+17, 0.00122885, 288.416
65, 1.3396e+14, 1.99621e+19, 5.35524e+18, 2.38777e+17, 0.00122817, 288.406
70, 1.33885e+14, 1.9951e+19, 5.35224e+18, 2.38643e+17, 0.00122748, 288.397
75, 1.3381e+14, 1.99398e+19, 5.34925e+18, 2.3851e+17, 0.00122679, 288.387
80, 1.33736e+14, 1.99287e+19, 5.34626e+18, 2.38377e+17, 0.00122611, 288.378
85, 1.33661e+14, 1.99175e+19, 5.34327e+18, 2.38243e+17, 0.00122542, 288.368
90, 1.33586e+14, 1.99064e+19, 5.34029e+18, 2.3811e+17, 0.00122474, 288.358
95, 1.33512e+14, 1.98953e+19, 5.33731e+18, 2.37977e+17, 0.00122405, 288.348
100, 1.33437e+14, 1.98842e+19, 5.33433e+18, 2.37845e+17, 0.00122337, 288.339
105, 1.33363e+14, 1.98731e+19, 5.33135e+18, 2.37712e+17, 0.00122269, 288.329
110, 1.33288e+14, 1.9862e+19, 5.32838e+18, 2.37579e+17, 0.001222, 288.319
115, 1.33214e+14, 1.98509e+19, 5.3254e+18, 2.37447e+17, 0.00122132, 288.309
120, 1.3314e+14, 1.98398e+19, 5.32244e+18, 2.37314e+17, 0.00122064, 288.299
125, 1.33065e+14, 1.98288e+19, 5.31947e+18, 2.37182e+17, 0.00121996, 288.289
130, 1.32991e+14, 1.98177e+19, 5.31651e+18, 2.3705e+17, 0.00121928, 288.278
135, 1.32917e+14, 1.98067e+19, 5.31355e+18, 2.36918e+17, 0.0012186, 288.268
140, 1.32843e+14, 1.97957e+19, 5.31059e+18, 2.36786e+17, 0.00121793, 288.258
145, 1.32769e+14, 1.97847e+19, 5.30763e+18, 2.36654e+17, 0.00121725, 288.247
150, 1.32695e+14, 1.97737e+19, 5.30468e+18, 2.36523e+17, 0.00121657, 288.237
155, 1.32622e+14, 1.97627e+19, 5.30173e+18, 2.36391e+17, 0.00121589, 288.227
160, 1.32548e+14, 1.97517e+19, 5.29878e+18, 2.3626e+17, 0.00121522, 288.216
165, 1.32474e+14, 1.97407e+19, 5.29584e+18, 2.36128e+17, 0.00121454, 288.205
170, 1.32401e+14, 1.97297e+19, 5.29289e+18, 2.35997e+17, 0.00121387, 288.195
175, 1.32327e+14, 1.97188e+19, 5.28995e+18, 2.35866e+17, 0.00121319, 288.184
180, 1.32254e+14, 1.97078e+19, 5.28702e+18, 2.35735e+17, 0.00121252, 288.173
185, 1.3218e+14, 1.96969e+19, 5.28408e+18, 2.35604e+17, 0.00121185, 288.163
190, 1.32107e+14, 1.96859e+19, 5.28115e+18, 2.35473e+17, 0.00121117, 288.152
195, 1.32034e+14, 1.9675e+19, 5.27822e+18, 2.35343e+17, 0.0012105, 288.141
200, 1.3196e+14, 1.96641e+19, 5.27529e+18, 2.35212e+17, 0.00120983, 288.13
205, 1.31887e+14, 1.96532e+19, 5.27237e+18, 2.35082e+17, 0.00120916, 288.119
210, 1.31814e+14, 1.96423e+19, 5.26945e+18, 2.34952e+17, 0.00120849, 288.108
215, 1.31741e+14, 1.96314e+19, 5.26653e+18, 2.34821e+17, 0.00120782, 288.096
220, 1.31668e+14, 1.96206e+19, 5.26361e+18, 2.34691e+17, 0.00120715, 288.085
225, 1.31595e+14, 1.96097e+19, 5.26069e+18, 2.34561e+17, 0.00120648, 288.074
230, 1.31522e+14, 1.95988e+19, 5.25778e+18, 2.34432e+17, 0.00120581, 288.063
235, 1.3145e+14, 1.9588e+19, 5.25487e+18, 2.34302e+17, 0.00120515, 288.051
240, 1.31377e+14, 1.95772e+19, 5.25197e+18, 2.34172e+17, 0.00120448, 288.04
245, 1.31304e+14, 1.95663e+19, 5.24906e+18, 2.34043e+17, 0.00120382, 288.028
250, 1.31232e+14, 1.95555e+19, 5.24616e+18, 2.33913e+17, 0.00120315, 288.017
255, 1.31159e+14, 1.95447e+19, 5.24326e+18, 2.33784e+17, 0.00120248, 288.005
260, 1.31087e+14, 1.95339e+19, 5.24036e+18, 2.33655e+17, 0.00120182, 287.993
265, 1.31014e+14, 1.95231e+19, 5.23747e+18, 2.33526e+17, 0.00120116, 287.982
270, 1.30942e+14, 1.95124e+19, 5.23458e+18, 2.33397e+17, 0.00120049, 287.97
275, 1.3087e+14, 1.95016e+19, 5.23169e+18, 2.33268e+17, 0.00119983, 287.958
280, 1.30797e+14, 1.94908e+19, 5.2288e+18, 2.33139e+17, 0.00119917, 287.946
285, 1.30725e+14, 1.94801e+19, 5.22592e+18, 2.33011e+17, 0.00119851, 287.934
290, 1.30653e+14, 1.94693e+19, 5.22304e+18, 2.32882e+17, 0.00119785, 287.922
295, 1.30581e+14, 1.94586e+19, 5.22016e+18, 2.32754e+17, 0.00119719, 287.91
300, 1.30509e+14, 1.94479e+19, 5.21728e+18, 2.32626e+17, 0.00119653, 287.898
305, 1.30437e+14, 1.94372e+19, 5.21441e+18, 2.32498e+17, 0.00119587, 287.886
310, 1.30366e+14, 1.94265e+19, 5.21154e+18, 2.3237e+17, 0.00119521, 287.874
315, 1.30294e+14, 1.94158e+19, 5.20867e+18, 2.32242e+17, 0.00119455, 287.861
320, 1.30222e+14, 1.94051e+19, 5.2058e+18, 2.32114e+17, 0.00119389, 287.849
325, 1.3015e+14, 1.93944e+19, 5.20293e+18, 2.31986e+17, 0.00119324, 287.837
330, 1.30079e+14, 1.93837e+19, 5.20007e+18, 2.31858e+17, 0.00119258, 287.824
335, 1.30007e+14, 1.93731e+19, 5.19721e+18, 2.31731e+17, 0.00119192, 287.812
340, 1.29936e+14, 1.93624e+19, 5.19436e+18, 2.31604e+17, 0.00119127, 287.799
345, 1.29864e+14, 1.93518e+19, 5.1915e+18, 2.31476e+17, 0.00119061, 287.786
350, 1.29793e+14, 1.93411e+19, 5.18865e+18, 2.31349e+17, 0.00118996, 287.774
355, 1.29722e+14, 1.93305e+19, 5.1858e+18, 2.31222e+17, 0.00118931, 287.761
360, 1.29651e+14, 1.93199e+19, 5.18295e+18, 2.31095e+17, 0.00118865, 287.748
365, 1.29579e+14, 1.93093e+19, 5.18011e+18, 2.30968e+17, 0.001188, 287.735
370, 1.29508e+14, 1.92987e+19, 5.17727e+18, 2.30842e+17, 0.00118735, 287.722
375, 1.29437e+14, 1.92881e+19, 5.17443e+18, 2.30715e+17, 0.0011867, 287.71
380, 1.29366e+14, 1.92776e+19, 5.17159e+18, 2.30588e+17, 0.00118605, 287.697
385, 1.29295e+14, 1.9267e+19, 5.16875e+18, 2.30462e+17, 0.0011854, 287.683
390, 1.29224e+14, 1.92564e+19, 5.16592e+18, 2.30336e+17, 0.00118475, 287.67
395, 1.29154e+14, 1.92459e+19, 5.16309e+18, 2.3021e+17, 0.0011841, 287.657
400, 1.29083e+14, 1.92353e+19, 5.16026e+18, 2.30083e+17, 0.00118345, 287.644
405, 1.29012e+14, 1.92248e+19, 5.15744e+18, 2.29957e+17, 0.0011828, 287.631
410, 1.28942e+14, 1.92143e+19, 5.15461e+18, 2.29832e+17, 0.00118215, 287.617
415, 1.28871e+14, 1.92038e+19, 5.15179e+18, 2.29706e+17, 0.00118151, 287.604
420, 1.28801e+14, 1.91933e+19, 5.14898e+18, 2.2958e+17, 0.00118086, 287.59
425, 1.2873e+14, 1.91828e+19, 5.14616e+18, 2.29455e+17, 0.00118022, 287.577
430, 1.2866e+14, 1.91723e+19, 5.14335e+18, 2.29329e+17, 0.00117957, 287.563
