MeV,    Hydrogen,  Carbon,  Nitrogen, Oxygen,  Sodium,  Aluminium, Argon,   Iron,    Copper,   Tin,    Tungsten,   Lead,    Water,  NaI,     Air,    Concrete,  CaP,    Uranium,  Thallium,  Platinum,  Iodine,   Molybdenum
0.01,    0.385,     2.13,     3.61,    5.69,   15.6,      26.3,    64.7,    178.0,    224,     122,      58.1,     80.1,   5.10,    122,    4.89,     24.6,    47.8,     113,        76.8,     68.0,      142,       71.8
0.015,   0.377,     0.701,    1.10,    1.68,   4.61,      7.84,    20.1,    58.2,     76.0,    37.8,     212,      132,    1.53,    38.5,   1.48,     7.68,    14.9,     36.8,       39.7,     135,       44.6,      22.0
0.02,    0.369,     0.382,    0.539,   0.766,  1.95,      3.33,    8.63,    25.8,     34.1,    16.5,     52.6,     69.9,   0.722,   17.0,   0.697,    3.34,    6.44,     25.5,       67.1,     60.9,      19.8,      9.64
0.03,    0.397,     0.229,    0.272,   0.334,  0.646,     1.04,    2.64,    8.03,     10.8,    43.7,     16.7,     22.3,   0.336,   5.30,   0.317,    1.10,    2.01,     30.5,       21.4,     19.4,      6.13,      26.9
0.04,    0.345,     0.193,    0.209,   0.232,  0.350,     0.507,   1.13,    3.48,     4.65,    18.9,     7.41,     9.76,   0.245,   18.2,   0.226,    0.542,   0.903,    13.4,       9.57,     8.53,      21.5,      12.2
0.05,    0.335,     0.178,    0.185,   0.197,  0.248,     0.326,   0.629,   1.83,     2.45,    10.2,     3.94,     5.19,   0.212,   10.1,   0.194,    0.350,   0.527,    7.17,       5.03,     4.58,      11.9,      6.62
0.06,    0.326,     0.169,    0.173,   0.180,  0.206,     0.248,   0.420,   1.13,     1.51,    6.28,     2.34,     3.15,   0.196,   6.17,   0.178,    -1,      0.367,    4.28,       3.01,     2.71,      7.26,      4.04
0.08,    0.309,     0.157,    0.159,   0.162,  0.168,     0.186,   0.249,   0.555,    0.713,   2.87,     7.49,     7.42,   0.178,   2.86,   0.161,    0.197    0.237,    1.93,       1.36,     8.61,      3.34,      1.86
0.1,     0.295,     0.149,    0.150,   0.151,  0.151,     0.161,   0.188,   0.344,    0.427,   1.58,     4.21,     5.29,   0.167,   1.57,   0.151,    0.169,   0.190,    1.06,       5.16,     4.75,      1.83,      1.03
0.15,    0.265,     0.134,    0.134,   0.134,  0.130,     0.134,   0.135,   0.183,    0.206,   0.563,    1.44,     1.84,   0.149,   0.568,  0.134,    0.139,   0.144,    2.42,       1.80,     1.64,      0.648,     0.389
0.2,     0.243,     0.122,    0.123,   0.123,  0.118,     0.120,   0.117,   0.138,    0.147,   0.303,    0.708,    0.896,  0.136,   0.305,  0.123,    0.124,   0.126,    1.17,       0.866,    0.795,     0.339,     0.225
0.3,     0.212,     0.106,    0.106,   0.107,  0.102,     0.103,   0.0977,  0.106,    0.108,   0.153,    0.293,    0.356,  0.118,   0.155,  0.106,    0.107,   0.107,    0.452,      0.346,    0.324,     0.165,     0.130
