MeV,           Oxygen,  Hydrogen,   Helium,   Nitrogen,   Oxygen,   Aluminium,  Argon,      Iron,      Lead,     Uranium,   Water
1.00000E-03, 4.590E+03, 7.217E+00, 6.084E+01, 3.311E+03, 4.590E+03, 1.185E+03, 3.184E+03, 9.085E+03, 5.210E+03, 6.626E+03, 4.078E+03
1.50000E-03, 1.549E+03, 2.148E+00, 1.676E+01, 1.083E+03, 1.549E+03, 4.022E+02, 1.105E+03, 3.399E+03, 2.356E+03, 3.382E+03, 1.376E+03
2.00000E-03, 6.949E+02, 1.059E+00, 6.863E+00, 4.769E+02, 6.949E+02, 2.263E+03, 5.120E+02, 1.626E+03, 1.285E+03, 1.865E+03, 6.173E+02
3.00000E-03, 2.171E+02, 5.612E-01, 2.007E+00, 1.456E+02, 2.171E+02, 7.880E+02, 1.703E+02, 5.576E+02, 1.965E+03, 7.692E+02, 1.929E+02
4.00000E-03, 9.315E+01, 4.546E-01, 9.329E-01, 6.166E+01, 9.315E+01, 3.605E+02, 7.572E+02, 2.567E+02, 1.251E+03, 1.329E+03, 8.278E+01
5.00000E-03, 4.790E+01, 4.193E-01, 5.766E-01, 3.144E+01, 4.790E+01, 1.934E+02, 4.225E+02, 1.398E+02, 7.304E+02, 8.891E+02, 4.258E+01
6.00000E-03, 2.770E+01, 4.042E-01, 4.195E-01, 1.809E+01, 2.770E+01, 1.153E+02, 2.593E+02, 8.484E+01, 4.672E+02, 6.284E+02, 2.464E+01
8.00000E-03, 1.163E+01, 3.914E-01, 2.933E-01, 7.562E+00, 1.163E+01, 5.033E+01, 1.180E+02, 3.056E+02, 2.287E+02, 3.108E+02, 1.037E+01
1.00000E-02, 5.952E+00, 3.854E-01, 2.476E-01, 3.879E+00, 5.952E+00, 2.623E+01, 6.316E+01, 1.706E+02, 1.306E+02, 1.791E+02, 5.329E+00
1.50000E-02, 1.836E+00, 3.764E-01, 2.092E-01, 1.236E+00, 1.836E+00, 7.955E+00, 1.983E+01, 5.708E+01, 1.116E+02, 6.528E+01, 1.673E+00
2.00000E-02, 8.651E-01, 3.695E-01, 1.960E-01, 6.178E-01, 8.651E-01, 3.441E+00, 8.629E+00, 2.568E+01, 8.636E+01, 7.106E+01, 8.096E-01
3.00000E-02, 3.779E-01, 3.570E-01, 1.838E-01, 3.066E-01, 3.779E-01, 1.128E+00, 2.697E+00, 8.176E+00, 3.032E+01, 4.128E+01, 3.756E-01
4.00000E-02, 2.585E-01, 3.458E-01, 1.763E-01, 2.288E-01, 2.585E-01, 5.685E-01, 1.228E+00, 3.629E+00, 1.436E+01, 1.983E+01, 2.683E-01
5.00000E-02, 2.132E-01, 3.355E-01, 1.703E-01, 1.980E-01, 2.132E-01, 3.681E-01, 7.012E-01, 1.958E+00, 8.041E+00, 1.121E+01, 2.269E-01
6.00000E-02, 1.907E-01, 3.260E-01, 1.651E-01, 1.817E-01, 1.907E-01, 2.778E-01, 4.664E-01, 1.205E+00, 5.021E+00, 7.035E+00, 2.059E-01
8.00000E-02, 1.678E-01, 3.091E-01, 1.562E-01, 1.639E-01, 1.678E-01, 2.018E-01, 2.760E-01, 5.952E-01, 2.419E+00, 3.395E+00, 1.837E-01
